"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"206",70,"LIDO",2,3,"MAD",3,32.57,1056,165,18.7558333333333,13,5.24416666666667
"207",70,"LIDO",3,3,"MAD",3,32.57,428,63,12.9711111111111,8,1.52888888888889
"208",71,"BO",1,3,"MAD",3,32.55,2636,419,20.0175,28,3.9825
"209",71,"BO",2,3,"MAD",3,32.55,1835,294,18.6361111111111,26,5.36388888888889
"210",71,"BO",3,3,"MAD",3,32.55,591,77,15.1447222222222,12,1.60527777777778
"211",72,"B+N",1,3,"CAD",3,28.73,2087,220,21.0766666666667,29,2.92333333333333
"212",72,"B+N",2,3,"CAD",3,28.73,1981,322,16.0691666666667,28,7.93083333333333
"213",72,"B+N",3,3,"CAD",3,28.73,992,158,13.9844444444444,17,2.76555555555556
"214",73,"LIDO",1,3,"MAD",3,34.22,1575,228,20.76,13,3.24
"215",73,"LIDO",2,3,"MAD",3,34.22,1129,187,21.1344444444444,9,2.86555555555556
"216",73,"LIDO",3,3,"MAD",3,34.22,475,74,14.6927777777778,9,1.80722222222222
"217",74,"B+N",1,3,"MAD",3,30.85,1017,85,21.7852777777778,21,2.21472222222222
"218",74,"B+N",2,3,"MAD",3,30.85,1241,185,19.9055555555556,16,4.09444444444444
"219",74,"B+N",3,3,"MAD",3,30.85,149,24,5.04333333333333,4,11.9566666666667
"220",75,"BO",1,3,"MAD",3,16.52,1614,186,21.5972222222222,23,2.40277777777778
"221",75,"BO",2,3,"MAD",3,16.52,1738,281,20.3,27,3.7
"222",75,"BO",3,3,"MAD",3,16.52,633,95,14.8847222222222,16,1.61527777777778
"223",76,"LIDO",1,3,"MAD",3,32.82,1741,194,20.0938888888889,28,3.90611111111111
"224",76,"LIDO",2,3,"MAD",3,32.82,1238,170,17.72,18,6.28
"225",76,"LIDO",3,3,"MAD",3,32.82,766,108,13.0697222222222,13,3.68027777777778
"226",77,"B+N",1,3,"MAD",3,24.47,608,87,22.8952777777778,9,1.10472222222222
"227",77,"B+N",2,3,"MAD",3,24.47,1008,170,21.2011111111111,21,2.79888888888889
"228",77,"B+N",3,3,"MAD",3,24.47,526,89,15.2994444444444,14,1.45055555555556
"229",78,"BO",1,3,"MAD",3,31,1891,249,19.0027777777778,38,4.99722222222222
"230",78,"BO",2,3,"MAD",3,31,662,79,21.2036111111111,15,2.79638888888889
"231",78,"BO",3,3,"MAD",3,31,309,36,13.6869444444444,9,1.56305555555556
"232",79,"BO",1,3,"MAD",3,24.07,2360,168,22.5830555555556,37,1.41694444444444
