"","Cow","TRT","hour","sday","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"433",15,"LIDO",49,1,88,19,50.75,0,9.25
"434",15,"LIDO",50,1,49,5,51.65,1,8.35
"435",15,"LIDO",51,1,17,0,57.8166666666667,1,2.18333333333333
"436",15,"LIDO",52,1,2,0,60,0,0
"437",15,"LIDO",53,1,33,4,53.15,1,6.85
"438",15,"LIDO",54,1,0,0,60,0,0
"439",15,"LIDO",55,1,19,2,55.25,1,4.75
"440",15,"LIDO",56,1,0,0,60,0,0
"441",15,"LIDO",57,1,60,10,52.7,1,7.3
"442",15,"LIDO",58,1,27,5,54.6166666666667,1,5.38333333333333
"443",15,"LIDO",59,1,33,3,52.5666666666667,1,7.43333333333333
"444",15,"LIDO",60,1,0,0,60,0,0
"445",15,"LIDO",61,1,15,0,54.0833333333333,1,5.91666666666667
"446",15,"LIDO",62,1,1,0,60,0,0
"447",15,"LIDO",63,1,112,17,45.4833333333333,3,14.5166666666667
"448",15,"LIDO",64,1,77,15,3.01666666666667,1,11.9833333333333
"449",16,"LIDO",1,1,6,0,60,0,0
"450",16,"LIDO",2,1,2,0,60,0,0
"451",16,"LIDO",3,1,1,0,60,0,0
"452",16,"LIDO",4,1,0,0,60,0,0
"453",16,"LIDO",5,1,2,0,60,0,0
"454",16,"LIDO",6,1,11,0,59.9166666666667,1,0.0833333333333333
"455",16,"LIDO",7,1,2,0,60,0,0
"456",16,"LIDO",8,1,34,4,57.75,1,2.25
"457",16,"LIDO",9,1,0,0,60,0,0
"458",16,"LIDO",10,1,0,0,60,0,0
"459",16,"LIDO",11,1,103,14,28.9166666666667,2,31.0833333333333
"460",16,"LIDO",12,1,0,0,58.35,1,1.65
"461",16,"LIDO",13,1,64,9,52.1166666666667,0,7.88333333333333
"462",16,"LIDO",14,1,0,0,60,0,0
"463",16,"LIDO",15,1,33,1,54.1,1,5.9
"464",16,"LIDO",16,1,68,14,39,1,21
