"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"45",36,432009,"B+N","MAD",2,23.97,42.7,13:20:00,"6/19/2025","6/20/2025",13:18:00,6.5,14,32,18,2025-08-07,"RES6X100",2025-08-12,"EXCE-1.5CC",2025-10-04,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,48,5,53,53,106,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-07,2025-10-04
"46",47,432018,"BO","MAD",2,22.38,29.5,22:56:00,"6/19/2025","6/20/2025",14:02:00,6.5,13,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"47",42,432019,"B+N","MAD",2,22.02,47.7,15:35:00,"6/19/2025","6/20/2025",13:36:00,6.1,13,12,-1,2025-07-14,"RES6X100",2025-07-19,"EXCE-1.5CC",2025-09-30,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,24,5,73,29,102,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-14,2025-09-30
"48",48,432020,"B+N","MAD",2,22.43,48.2,15:40:00,"6/19/2025","6/20/2025",14:06:00,6.9,12,12,0,2025-10-11,"RES6X100",NA,NA,NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,113,NA,NA,NA,NA,0,1,1,NA,1,0,0,1,1,0,0,2025-10-11,NA
"49",64,432022,"LIDO","MAD",2,23.17,32.3,15:50:00,"6/19/2025","6/20/2025",15:00:00,6.5,13,13,0,2025-09-27,"RES6X100",2025-10-05,"EXCE-1.5CC",NA,NA,2025-06-20,"BISMUSOL ORAL",2025-06-21,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,99,8,NA,107,NA,0,1,1,NA,1,1,0,1,1,0,1,2025-09-27,2025-10-05
"50",38,432024,"BO","MAD",2,22.38,37.3,15:00:00,"6/19/2025","6/20/2025",13:23:00,7,15,17,2,2025-08-08,"RES6X100",2025-08-13,"EXCE-1.5CC",2025-10-06,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,49,5,54,54,108,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-08,2025-10-06
"51",62,432026,"B+N","MAD",2,21.65,52.7,17:15:00,"6/19/2025","6/20/2025",14:54:00,6.5,10,15,5,2025-09-30,"EXCE-1.5CC",2025-09-30,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,102,0,NA,102,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-09-30,NA
"52",53,432027,"B+N","MAD",2,20.57,61.4,17:50:00,"6/19/2025","6/20/2025",14:24:00,7,11,16,5,2025-08-25,"RES6X100",2025-08-30,"EXCE-1.5CC",2025-09-30,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,66,5,31,71,102,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-25,2025-09-30
"53",60,432028,"B+N","MAD",2,20.95,36.4,17:50:00,"6/19/2025","6/20/2025",14:47:00,8.1,9,13,4,2025-09-13,"RES6X100",2025-09-19,"EXCE-1.5CC",2025-09-19,"RES6X100",2025-06-22,"BISMUSOL ORAL",2025-06-23,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,85,6,0,91,91,2,3,1,NA,1,1,1,1,1,0,0,2025-09-13,NA
"54",41,432029,"BO","MAD",2,18.98,37.7,18:35:00,"6/19/2025","6/20/2025",13:34:00,7.2,13,12,-1,2025-07-11,"RES6X100",2025-07-16,"EXCE-1.5CC",2025-09-23,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,21,5,69,26,95,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-11,2025-09-23
